source	target	weight
Conventional tillage	Precipitation	1
Conventional tillage	Soil carbon	1
Conventional tillage	Soil science	1
Conventional tillage	Soil water	1
Conventional tillage	Tillage	3
Conventional tillage	Yield (engineering)	3
Crop	Precipitation	6
Crop	Soil carbon	3
Crop	Soil science	6
Crop	Soil water	7
Crop	Tillage	3
Crop rotation	Cropping	6
Crop rotation	Cropping system	5
Crop rotation	Geography	4
Crop rotation	Growing season	1
Crop rotation	Precipitation	2
Crop rotation	Soil carbon	3
Crop rotation	Soil science	6
Crop rotation	Soil water	6
Crop rotation	Tillage	1
Crop yield	Soil carbon	3
Crop yield	Soil science	6
Crop yield	Soil water	8
Crop yield	Tillage	3
Cropping	Precipitation	3
Cropping	Soil carbon	2
Cropping	Soil science	5
Cropping	Soil water	5
Cropping	Tillage	1
Cropping system	Geography	6
Cropping system	Precipitation	2
Cropping system	Soil carbon	2
Cropping system	Soil science	4
Cropping system	Soil water	4
Cropping system	Tillage	2
Ecology	Soil carbon	9
Ecology	Tillage	1
Environmental science	Tillage	3
Geography	Soil carbon	4
Geography	Tillage	2
Growing season	Soil carbon	1
Growing season	Tillage	1
Precipitation	Soil carbon	1
Precipitation	Tillage	1
Soil carbon	Tillage	1
Soil carbon	Yield (engineering)	3
Soil science	Tillage	1
Soil water	Tillage	1
Tillage	Yield (engineering)	3
Agronomy	Bayesian probability	2
Agronomy	Zea mays	19
Bayesian probability	Biology	2
Bayesian probability	Biomass (ecology)	1
Bayesian probability	Crop	1
Bayesian probability	Environmental science	1
Bayesian probability	Grain yield	2
Bayesian probability	Mathematics	3
Bayesian probability	Statistics	3
Bayesian probability	Zea mays	2
Biology	Zea mays	19
Biomass (ecology)	Crop	7
Biomass (ecology)	Grain yield	2
Biomass (ecology)	Statistics	2
Biomass (ecology)	Zea mays	2
Crop	Grain yield	8
Crop	Statistics	5
Crop	Zea mays	11
Environmental science	Grain yield	6
Environmental science	Zea mays	10
Grain yield	Statistics	3
Grain yield	Zea mays	4
Mathematics	Zea mays	8
Statistics	Zea mays	3
Agronomy	Animal science	10
Agronomy	Fixation (population genetics)	1
Agronomy	Nitrogen fixation	10
Agronomy	Point of delivery	5
Animal science	Biology	11
Animal science	Chemistry	7
Animal science	Fixation (population genetics)	1
Animal science	Growing season	1
Animal science	Nitrogen	4
Animal science	Nitrogen fixation	2
Animal science	Point of delivery	2
Biology	Fixation (population genetics)	1
Biology	Nitrogen fixation	10
Biology	Point of delivery	5
Chemistry	Fixation (population genetics)	1
Chemistry	Growing season	4
Chemistry	Nitrogen fixation	7
Chemistry	Point of delivery	3
Fixation (population genetics)	Growing season	1
Fixation (population genetics)	Nitrogen	1
Fixation (population genetics)	Nitrogen fixation	1
Fixation (population genetics)	Point of delivery	1
Growing season	Nitrogen	4
Growing season	Nitrogen fixation	3
Growing season	Point of delivery	2
Nitrogen	Nitrogen fixation	7
Nitrogen	Point of delivery	3
Nitrogen fixation	Point of delivery	2
Agriculture	Atmospheric radiative transfer codes	2
Agriculture	Botany	3
Agriculture	Canopy	2
Agriculture	Hyperspectral imaging	2
Agriculture	Leaf area index	2
Agriculture	Nitrogen	5
Agriculture	Physics	4
Agriculture	Radiative transfer	2
Agronomy	Atmospheric radiative transfer codes	1
Agronomy	Precision agriculture	1
Agronomy	Radiative transfer	1
Atmospheric radiative transfer codes	Biology	1
Atmospheric radiative transfer codes	Botany	1
Atmospheric radiative transfer codes	Canopy	1
Atmospheric radiative transfer codes	Chemistry	1
Atmospheric radiative transfer codes	Nitrogen	1
Atmospheric radiative transfer codes	Precision agriculture	2
Biology	Leaf area index	12
Biology	Precision agriculture	1
Biology	Radiative transfer	1
Botany	Geography	3
Botany	Leaf area index	5
Botany	Physics	6
Botany	Precision agriculture	1
Botany	Radiative transfer	1
Canopy	Leaf area index	5
Canopy	Physics	5
Canopy	Precision agriculture	1
Canopy	Radiative transfer	1
Chemistry	Precision agriculture	1
Chemistry	Radiative transfer	1
Geography	Hyperspectral imaging	3
Geography	Nitrogen	1
Geography	Precision agriculture	3
Hyperspectral imaging	Leaf area index	1
Hyperspectral imaging	Physics	2
Hyperspectral imaging	Precision agriculture	2
Leaf area index	Nitrogen	3
Leaf area index	Precision agriculture	1
Nitrogen	Precision agriculture	1
Nitrogen	Radiative transfer	1
Physics	Precision agriculture	1
Precision agriculture	Radiative transfer	2
Precision agriculture	Remote sensing	2
Agricultural engineering	Agricultural productivity	2
Agricultural engineering	Econometrics	1
Agricultural engineering	Economics	15
Agricultural engineering	Environmental resource management	6
Agricultural engineering	Estimation	1
Agricultural engineering	Food security	4
Agricultural engineering	Futures studies	1
Agricultural engineering	Geography	20
Agricultural engineering	Natural resource economics	1
Agricultural engineering	Production (economics)	7
Agricultural engineering	Scope (computer science)	1
Agricultural engineering	Statistics	4
Agricultural engineering	Yield gap	6
Agricultural productivity	Computer science	2
Agricultural productivity	Crop yield	2
Agricultural productivity	Econometrics	1
Agricultural productivity	Estimation	1
Agricultural productivity	Futures studies	1
Agricultural productivity	Mathematics	2
Agricultural productivity	Scope (computer science)	1
Agricultural productivity	Statistics	1
Agricultural productivity	Yield (engineering)	2
Agricultural productivity	Yield gap	1
Agriculture	Econometrics	1
Agriculture	Estimation	1
Agriculture	Futures studies	1
Agriculture	Scope (computer science)	1
Agriculture	Statistics	2
Agriculture	Yield gap	8
Computer science	Econometrics	2
Computer science	Economics	8
Computer science	Estimation	1
Computer science	Food security	2
Computer science	Futures studies	1
Computer science	Natural resource economics	2
Computer science	Production (economics)	4
Computer science	Scope (computer science)	1
Computer science	Yield gap	1
Crop yield	Econometrics	1
Crop yield	Economics	10
Crop yield	Environmental resource management	1
Crop yield	Estimation	1
Crop yield	Food security	7
Crop yield	Futures studies	1
Crop yield	Natural resource economics	1
Crop yield	Production (economics)	2
Crop yield	Scope (computer science)	1
Crop yield	Yield gap	9
Ecology	Econometrics	1
Ecology	Estimation	1
Ecology	Futures studies	1
Ecology	Scope (computer science)	1
Ecology	Statistics	4
Ecology	Yield gap	4
Econometrics	Economics	1
Econometrics	Environmental resource management	1
Econometrics	Environmental science	2
Econometrics	Estimation	1
Econometrics	Food security	1
Econometrics	Futures studies	1
Econometrics	Geography	2
Econometrics	Mathematics	2
Econometrics	Natural resource economics	1
Econometrics	Production (economics)	1
Econometrics	Scope (computer science)	1
Econometrics	Statistics	1
Econometrics	Yield (engineering)	1
Econometrics	Yield gap	1
Economics	Estimation	1
Economics	Futures studies	1
Economics	Mathematics	12
Economics	Scope (computer science)	1
Economics	Statistics	2
Economics	Yield (engineering)	19
Economics	Yield gap	5
Environmental resource management	Estimation	1
Environmental resource management	Futures studies	1
Environmental resource management	Scope (computer science)	1
Environmental resource management	Statistics	2
Environmental resource management	Yield (engineering)	2
Environmental resource management	Yield gap	1
Environmental science	Estimation	2
Environmental science	Futures studies	1
Environmental science	Scope (computer science)	1
Environmental science	Yield gap	8
Estimation	Food security	1
Estimation	Futures studies	1
Estimation	Geography	2
Estimation	Mathematics	1
Estimation	Natural resource economics	1
Estimation	Production (economics)	1
Estimation	Scope (computer science)	1
Estimation	Statistics	1
Estimation	Yield (engineering)	1
Estimation	Yield gap	1
Food security	Futures studies	1
Food security	Mathematics	4
Food security	Scope (computer science)	1
Food security	Statistics	1
Food security	Yield (engineering)	6
Food security	Yield gap	3
Futures studies	Geography	1
Futures studies	Mathematics	1
Futures studies	Natural resource economics	1
Futures studies	Production (economics)	1
Futures studies	Scope (computer science)	1
Futures studies	Statistics	1
Futures studies	Yield (engineering)	1
Futures studies	Yield gap	1
Geography	Scope (computer science)	1
Geography	Yield gap	6
Mathematics	Natural resource economics	3
Mathematics	Production (economics)	2
Mathematics	Scope (computer science)	1
Mathematics	Yield gap	4
Natural resource economics	Scope (computer science)	1
Natural resource economics	Statistics	1
Natural resource economics	Yield (engineering)	1
Natural resource economics	Yield gap	1
Production (economics)	Scope (computer science)	1
Production (economics)	Statistics	2
Production (economics)	Yield (engineering)	6
Production (economics)	Yield gap	4
Scope (computer science)	Statistics	1
Scope (computer science)	Yield (engineering)	1
Scope (computer science)	Yield gap	1
Statistics	Yield gap	1
Yield (engineering)	Yield gap	8
Agronomy	Evapotranspiration	4
Agronomy	Global warming	1
Atmospheric sciences	Climate change	3
Atmospheric sciences	Climatology	3
Atmospheric sciences	Evapotranspiration	2
Atmospheric sciences	Global warming	2
Atmospheric sciences	Irrigation	1
Biology	Evapotranspiration	4
Biology	Global warming	1
Biology	Transpiration	3
Biology	Vapour Pressure Deficit	3
Chemistry	Climate change	3
Chemistry	Climatology	1
Chemistry	Evapotranspiration	1
Chemistry	Global warming	1
Chemistry	Irrigation	4
Climate change	Climatology	3
Climate change	Evapotranspiration	1
Climate change	Global warming	3
Climate change	Transpiration	2
Climate change	Vapour Pressure Deficit	2
Climatology	Ecology	6
Climatology	Evapotranspiration	2
Climatology	Global warming	2
Climatology	Irrigation	2
Climatology	Transpiration	2
Climatology	Vapour Pressure Deficit	2
Ecology	Evapotranspiration	5
Ecology	Global warming	2
Environmental science	Global warming	2
Evapotranspiration	Geography	4
Evapotranspiration	Global warming	1
Evapotranspiration	Meteorology	3
Evapotranspiration	Precipitation	2
Evapotranspiration	Transpiration	1
Evapotranspiration	Vapour Pressure Deficit	1
Evapotranspiration	Yield (engineering)	3
Geography	Global warming	2
Global warming	Irrigation	1
Global warming	Meteorology	2
Global warming	Precipitation	2
Global warming	Transpiration	2
Global warming	Vapour Pressure Deficit	2
Global warming	Yield (engineering)	2
Irrigation	Transpiration	1
Irrigation	Vapour Pressure Deficit	1
Transpiration	Yield (engineering)	1
Vapour Pressure Deficit	Yield (engineering)	1
Atmospheric sciences	Botany	9
Atmospheric sciences	Geology	5
Atmospheric sciences	Photosynthetically active radiation	5
Biology	Chlorophyll fluorescence	7
Biology	Geology	7
Biology	Photosynthetically active radiation	6
Biology	Vegetation (pathology)	5
Botany	Chlorophyll fluorescence	7
Botany	Geology	3
Botany	Photosynthetically active radiation	5
Botany	Vegetation (pathology)	2
Canopy	Chlorophyll fluorescence	6
Canopy	Geology	4
Canopy	Photosynthetically active radiation	5
Canopy	Vegetation (pathology)	2
Chemistry	Geology	6
Chemistry	Photosynthetically active radiation	1
Chlorophyll	Geology	1
Chlorophyll	Photosynthetically active radiation	1
Chlorophyll fluorescence	Geology	2
Chlorophyll fluorescence	Photosynthesis	7
Chlorophyll fluorescence	Photosynthetically active radiation	4
Environmental science	Photosynthetically active radiation	6
Geology	Materials science	2
Geology	Photosynthesis	2
Geology	Photosynthetically active radiation	2
Geology	Vegetation (pathology)	2
Geology	Yield (engineering)	5
Materials science	Photosynthesis	1
Materials science	Photosynthetically active radiation	1
Photosynthesis	Photosynthetically active radiation	5
Photosynthesis	Vegetation (pathology)	2
Photosynthesis	Yield (engineering)	2
Photosynthetically active radiation	Remote sensing	2
Photosynthetically active radiation	Vegetation (pathology)	2
Photosynthetically active radiation	Yield (engineering)	3
Agricultural engineering	Crop simulation model	2
Agricultural engineering	Forestry	2
Agricultural engineering	Growing season	3
Agricultural engineering	Machine learning	2
Agricultural engineering	Random forest	2
Agricultural engineering	Remote sensing	5
Agricultural engineering	Vegetation (pathology)	2
Agronomy	Crop simulation model	10
Computer science	Crop simulation model	3
Computer science	Vegetation (pathology)	3
Crop	Crop simulation model	10
Crop	Vegetation (pathology)	2
Crop simulation model	Crop yield	7
Crop simulation model	Environmental science	9
Crop simulation model	Forestry	1
Crop simulation model	Geography	7
Crop simulation model	Growing season	1
Crop simulation model	Machine learning	1
Crop simulation model	Random forest	1
Crop simulation model	Remote sensing	1
Crop simulation model	Vegetation (pathology)	1
Crop simulation model	Yield (engineering)	6
Crop yield	Forestry	3
Forestry	Vegetation (pathology)	1
Forestry	Yield (engineering)	3
Growing season	Vegetation (pathology)	4
Machine learning	Vegetation (pathology)	3
Random forest	Vegetation (pathology)	2
Abiotic component	Abiotic stress	3
Abiotic component	Agronomy	4
Abiotic component	Biology	4
Abiotic component	Brassica	1
Abiotic component	Canola	1
Abiotic component	Crop	4
Abiotic component	Ecology	4
Abiotic component	Economics	1
Abiotic component	Environmental science	4
Abiotic component	Productivity	1
Abiotic component	Yield (engineering)	3
Abiotic stress	Agronomy	3
Abiotic stress	Biology	3
Abiotic stress	Brassica	1
Abiotic stress	Canola	1
Abiotic stress	Crop	2
Abiotic stress	Ecology	3
Abiotic stress	Economics	1
Abiotic stress	Environmental science	3
Abiotic stress	Productivity	1
Abiotic stress	Yield (engineering)	2
Agronomy	Brassica	4
Agronomy	Canola	5
Agronomy	Economics	24
Agronomy	Productivity	16
Biology	Brassica	5
Biology	Canola	5
Biology	Economics	26
Biology	Productivity	19
Brassica	Canola	4
Brassica	Crop	3
Brassica	Ecology	2
Brassica	Economics	2
Brassica	Environmental science	3
Brassica	Productivity	2
Brassica	Yield (engineering)	2
Canola	Crop	4
Canola	Ecology	2
Canola	Economics	3
Canola	Environmental science	4
Canola	Productivity	2
Canola	Yield (engineering)	2
Crop	Economics	16
Crop	Productivity	11
Ecology	Productivity	13
Productivity	Yield (engineering)	12
Agronomy	Dry matter	6
Biology	Dry matter	6
Chemistry	Dry matter	5
Crop	Dry matter	3
Crop	Leaf area index	6
Crop	Nitrogen fixation	2
Crop yield	Dry matter	2
Crop yield	Nitrogen fixation	1
Dry matter	Fertilizer	3
Dry matter	Leaf area index	2
Dry matter	Nitrogen	5
Dry matter	Nitrogen fixation	3
Dry matter	Yield (engineering)	3
Fertilizer	Leaf area index	1
Fertilizer	Nitrogen fixation	2
Leaf area index	Nitrogen fixation	1
Nitrogen fixation	Yield (engineering)	3
Agricultural economics	Agroforestry	10
Agricultural economics	Cover crop	2
Agricultural economics	Ecology	6
Agricultural economics	Environmental resource management	3
Agricultural economics	Environmental science	14
Agricultural economics	Government (linguistics)	2
Agricultural economics	Incentive	1
Agricultural economics	Sustainability	2
Agriculture	Government (linguistics)	2
Agriculture	Incentive	1
Agroforestry	Economics	17
Agroforestry	Environmental resource management	6
Agroforestry	Geography	24
Agroforestry	Government (linguistics)	1
Agroforestry	Incentive	1
Agroforestry	Sustainability	3
Cover crop	Economics	2
Cover crop	Environmental resource management	1
Cover crop	Geography	5
Cover crop	Government (linguistics)	1
Cover crop	Incentive	1
Cover crop	Sustainability	1
Cropping	Environmental resource management	2
Cropping	Government (linguistics)	1
Cropping	Incentive	1
Cropping	Sustainability	1
Ecology	Government (linguistics)	1
Ecology	Incentive	1
Economics	Government (linguistics)	2
Economics	Incentive	2
Environmental resource management	Government (linguistics)	1
Environmental resource management	Incentive	1
Environmental science	Government (linguistics)	1
Environmental science	Incentive	1
Geography	Government (linguistics)	2
Geography	Incentive	1
Government (linguistics)	Incentive	1
Government (linguistics)	Sustainability	2
Incentive	Sustainability	1
Agriculture	Multispectral image	1
Agriculture	Optics	2
Agroforestry	Atmospheric radiative transfer codes	1
Agroforestry	Hyperspectral imaging	1
Agroforestry	Multispectral image	1
Agroforestry	Optics	1
Agroforestry	Precision agriculture	1
Agroforestry	Radiative transfer	1
Agroforestry	Remote sensing	4
Atmospheric radiative transfer codes	Cover crop	1
Atmospheric radiative transfer codes	Multispectral image	1
Atmospheric radiative transfer codes	Optics	1
Cover crop	Hyperspectral imaging	1
Cover crop	Multispectral image	2
Cover crop	Optics	1
Cover crop	Precision agriculture	1
Cover crop	Radiative transfer	1
Cover crop	Remote sensing	3
Environmental science	Multispectral image	2
Environmental science	Optics	3
Geography	Multispectral image	2
Geography	Optics	1
Hyperspectral imaging	Multispectral image	1
Hyperspectral imaging	Optics	2
Multispectral image	Optics	1
Multispectral image	Precision agriculture	1
Multispectral image	Radiative transfer	1
Multispectral image	Remote sensing	2
Optics	Precision agriculture	1
Optics	Radiative transfer	1
Optics	Remote sensing	2
Agriculture	Carbon cycle	2
Agriculture	Ecosystem	3
Agriculture	Ecosystem respiration	2
Agriculture	Ecosystem services	3
Agriculture	Eddy covariance	2
Agriculture	Hydrology (agriculture)	6
Agriculture	Primary production	2
Agroecosystem	Atmospheric sciences	2
Agroecosystem	Carbon cycle	2
Agroecosystem	Ecosystem	2
Agroecosystem	Ecosystem respiration	2
Agroecosystem	Ecosystem services	2
Agroecosystem	Eddy covariance	2
Agroecosystem	Hydrology (agriculture)	2
Agroecosystem	Primary production	2
Atmospheric sciences	Carbon cycle	2
Atmospheric sciences	Ecosystem respiration	2
Atmospheric sciences	Ecosystem services	2
Atmospheric sciences	Hydrology (agriculture)	3
Atmospheric sciences	Primary production	3
Carbon cycle	Ecology	2
Carbon cycle	Ecosystem	2
Carbon cycle	Ecosystem respiration	2
Carbon cycle	Ecosystem services	2
Carbon cycle	Eddy covariance	2
Carbon cycle	Environmental science	2
Carbon cycle	Hydrology (agriculture)	2
Carbon cycle	Primary production	2
Ecology	Ecosystem respiration	2
Ecology	Ecosystem services	3
Ecology	Primary production	4
Ecosystem	Ecosystem respiration	2
Ecosystem	Ecosystem services	3
Ecosystem	Hydrology (agriculture)	2
Ecosystem	Primary production	4
Ecosystem respiration	Ecosystem services	2
Ecosystem respiration	Eddy covariance	2
Ecosystem respiration	Environmental science	2
Ecosystem respiration	Hydrology (agriculture)	2
Ecosystem respiration	Primary production	2
Ecosystem services	Eddy covariance	2
Ecosystem services	Environmental science	3
Ecosystem services	Hydrology (agriculture)	2
Ecosystem services	Primary production	2
Eddy covariance	Hydrology (agriculture)	3
Eddy covariance	Primary production	3
Environmental science	Primary production	4
Hydrology (agriculture)	Primary production	2
Agronomy	Field pea	2
Agronomy	Lupinus	1
Agronomy	Lupinus angustifolius	1
Agronomy	Monoculture	4
Agronomy	Sativum	2
Biology	Field pea	2
Biology	Lupinus	1
Biology	Lupinus angustifolius	1
Biology	Monoculture	4
Biology	Sativum	2
Field pea	Lupinus	1
Field pea	Lupinus angustifolius	1
Field pea	Monoculture	1
Field pea	Nitrogen fixation	1
Field pea	Sativum	2
Lupinus	Lupinus angustifolius	1
Lupinus	Monoculture	1
Lupinus	Nitrogen fixation	1
Lupinus	Sativum	1
Lupinus angustifolius	Monoculture	1
Lupinus angustifolius	Nitrogen fixation	1
Lupinus angustifolius	Sativum	1
Monoculture	Nitrogen fixation	1
Monoculture	Sativum	1
Nitrogen fixation	Sativum	1
Agronomy	Dilution	5
Agronomy	Human fertilization	10
Agronomy	Nutrient	13
Agronomy	Shoot	4
Biology	Dilution	5
Biology	Human fertilization	10
Biology	Nutrient	14
Biology	Shoot	4
Biomass (ecology)	Dilution	2
Biomass (ecology)	Human fertilization	1
Biomass (ecology)	Nitrogen	5
Biomass (ecology)	Nutrient	1
Biomass (ecology)	Shoot	3
Chemistry	Dilution	3
Chemistry	Human fertilization	8
Chemistry	Nutrient	5
Chemistry	Shoot	3
Dilution	Human fertilization	1
Dilution	Nitrogen	2
Dilution	Nutrient	1
Dilution	Shoot	1
Human fertilization	Nitrogen	6
Human fertilization	Nutrient	2
Human fertilization	Shoot	1
Nitrogen	Nutrient	4
Nitrogen	Shoot	3
Nutrient	Shoot	1
Cartography	Field (mathematics)	3
Cartography	Geology	4
Cartography	Hyperspectral imaging	1
Cartography	Satellite	3
Environmental science	Field (mathematics)	8
Field (mathematics)	Geography	6
Field (mathematics)	Geology	4
Field (mathematics)	Hyperspectral imaging	1
Field (mathematics)	Remote sensing	2
Field (mathematics)	Satellite	3
Field (mathematics)	Scale (ratio)	3
Geography	Geology	15
Geology	Satellite	9
Geology	Scale (ratio)	3
Hyperspectral imaging	Satellite	1
Hyperspectral imaging	Scale (ratio)	1
Satellite	Scale (ratio)	2
Agronomy	Silt	1
Agronomy	Soil texture	1
Biology	Silt	1
Biology	Soil texture	1
Biomass (ecology)	Fertilizer	4
Biomass (ecology)	Field experiment	2
Biomass (ecology)	Horticulture	2
Biomass (ecology)	Materials science	2
Biomass (ecology)	Silt	1
Biomass (ecology)	Soil texture	1
Chemistry	Field experiment	5
Chemistry	Silt	1
Chemistry	Soil texture	1
Environmental science	Field experiment	2
Environmental science	Shoot	1
Environmental science	Silt	1
Environmental science	Soil texture	2
Fertilizer	Field experiment	4
Fertilizer	Horticulture	5
Fertilizer	Materials science	1
Fertilizer	Shoot	2
Fertilizer	Silt	1
Fertilizer	Soil science	6
Fertilizer	Soil texture	1
Fertilizer	Soil water	9
Field experiment	Horticulture	2
Field experiment	Nitrogen	4
Field experiment	Shoot	1
Field experiment	Silt	1
Field experiment	Soil science	1
Field experiment	Soil texture	1
Field experiment	Soil water	1
Horticulture	Materials science	1
Horticulture	Shoot	2
Horticulture	Silt	1
Horticulture	Soil science	2
Horticulture	Soil texture	1
Horticulture	Soil water	3
Horticulture	Yield (engineering)	8
Materials science	Nitrogen	6
Materials science	Shoot	1
Materials science	Silt	1
Materials science	Soil science	1
Materials science	Soil texture	1
Materials science	Soil water	1
Mathematics	Shoot	1
Mathematics	Silt	1
Mathematics	Soil texture	2
Nitrogen	Silt	1
Nitrogen	Soil science	4
Nitrogen	Soil texture	1
Nitrogen	Soil water	4
Shoot	Silt	1
Shoot	Soil science	1
Shoot	Soil texture	1
Shoot	Soil water	1
Shoot	Yield (engineering)	3
Silt	Soil science	1
Silt	Soil texture	1
Silt	Soil water	1
Silt	Yield (engineering)	1
Soil science	Soil texture	2
Soil texture	Soil water	2
Soil texture	Yield (engineering)	1
Biology	Dryness	2
Biology	Ecosystem	3
Biology	Environmental resource management	4
Dryness	Ecology	1
Dryness	Ecosystem	1
Dryness	Environmental resource management	1
Dryness	Environmental science	2
Ecosystem	Environmental resource management	3
Agriculture	Tropospheric ozone	1
Agronomy	Crop production	3
Agronomy	Production (economics)	10
Agronomy	Tropospheric ozone	1
Biology	Crop production	4
Biology	Production (economics)	11
Biology	Tropospheric ozone	1
Chemistry	Crop production	1
Chemistry	Production (economics)	1
Chemistry	Tropospheric ozone	1
Crop	Crop production	4
Crop	Production (economics)	6
Crop	Tropospheric ozone	1
Crop production	Ozone	1
Crop production	Production (economics)	4
Crop production	Tropospheric ozone	1
Ecology	Tropospheric ozone	1
Environmental science	Tropospheric ozone	1
Ozone	Production (economics)	1
Ozone	Tropospheric ozone	1
Production (economics)	Tropospheric ozone	1
Agronomy	Flood myth	1
Agronomy	Flooding (psychology)	1
Agronomy	Greenhouse	2
Atmospheric sciences	Flood myth	1
Atmospheric sciences	Flooding (psychology)	1
Atmospheric sciences	Greenhouse	2
Atmospheric sciences	Phenology	1
Biology	Flood myth	1
Biology	Flooding (psychology)	1
Biology	Greenhouse	2
Climate change	Flood myth	1
Climate change	Flooding (psychology)	1
Climate change	Greenhouse	2
Climate change	Phenology	2
Climatology	Flood myth	1
Climatology	Flooding (psychology)	1
Climatology	Greenhouse	1
Climatology	Hydrology (agriculture)	3
Climatology	Phenology	2
Ecology	Flood myth	1
Ecology	Flooding (psychology)	1
Ecology	Greenhouse	2
Ecology	Phenology	5
Environmental science	Flood myth	1
Environmental science	Flooding (psychology)	1
Environmental science	Greenhouse	2
Flood myth	Flooding (psychology)	1
Flood myth	Geography	1
Flood myth	Greenhouse	1
Flood myth	Hydrology (agriculture)	1
Flood myth	Phenology	1
Flooding (psychology)	Geography	1
Flooding (psychology)	Greenhouse	1
Flooding (psychology)	Hydrology (agriculture)	1
Flooding (psychology)	Phenology	1
Geography	Greenhouse	1
Greenhouse	Hydrology (agriculture)	1
Greenhouse	Phenology	1
Abiotic component	Agricultural engineering	2
Abiotic component	Biotechnology	1
Abiotic component	Computer science	1
Abiotic component	Drought stress	1
Abiotic component	Engineering	2
Abiotic component	Grain yield	1
Abiotic component	Heat stress	1
Abiotic component	Materials science	1
Abiotic component	Resilience (materials science)	1
Abiotic component	Throughput	1
Abiotic stress	Agricultural engineering	2
Abiotic stress	Biotechnology	1
Abiotic stress	Computer science	1
Abiotic stress	Drought stress	1
Abiotic stress	Engineering	2
Abiotic stress	Grain yield	1
Abiotic stress	Heat stress	1
Abiotic stress	Materials science	1
Abiotic stress	Resilience (materials science)	1
Abiotic stress	Throughput	1
Agricultural engineering	Biotechnology	1
Agricultural engineering	Drought stress	1
Agricultural engineering	Grain yield	2
Agricultural engineering	Heat stress	1
Agricultural engineering	Materials science	3
Agricultural engineering	Resilience (materials science)	1
Agricultural engineering	Throughput	1
Agronomy	Drought stress	3
Agronomy	Heat stress	3
Agronomy	Resilience (materials science)	1
Agronomy	Throughput	1
Biology	Drought stress	3
Biology	Heat stress	3
Biology	Resilience (materials science)	3
Biology	Throughput	1
Biotechnology	Computer science	2
Biotechnology	Crop	7
Biotechnology	Drought stress	2
Biotechnology	Engineering	1
Biotechnology	Grain yield	2
Biotechnology	Heat stress	2
Biotechnology	Resilience (materials science)	1
Biotechnology	Throughput	1
Computer science	Drought stress	2
Computer science	Grain yield	2
Computer science	Heat stress	1
Computer science	Materials science	2
Computer science	Resilience (materials science)	1
Computer science	Throughput	1
Crop	Drought stress	3
Crop	Heat stress	1
Crop	Materials science	4
Crop	Resilience (materials science)	1
Crop	Throughput	1
Drought stress	Ecology	2
Drought stress	Engineering	1
Drought stress	Environmental science	2
Drought stress	Grain yield	1
Drought stress	Heat stress	1
Drought stress	Materials science	1
Drought stress	Resilience (materials science)	1
Drought stress	Throughput	1
Drought stress	Yield (engineering)	2
Ecology	Engineering	18
Ecology	Grain yield	3
Ecology	Heat stress	2
Ecology	Resilience (materials science)	3
Ecology	Throughput	1
Engineering	Grain yield	2
Engineering	Heat stress	1
Engineering	Materials science	4
Engineering	Resilience (materials science)	1
Engineering	Throughput	1
Environmental science	Heat stress	2
Environmental science	Resilience (materials science)	3
Environmental science	Throughput	1
Grain yield	Heat stress	1
Grain yield	Resilience (materials science)	1
Grain yield	Throughput	1
Heat stress	Materials science	2
Heat stress	Resilience (materials science)	1
Heat stress	Throughput	1
Heat stress	Yield (engineering)	2
Materials science	Resilience (materials science)	1
Materials science	Throughput	1
Resilience (materials science)	Throughput	1
Resilience (materials science)	Yield (engineering)	1
Throughput	Yield (engineering)	1
Agronomy	Genetic gain	5
Agronomy	Genetic variation	5
Agronomy	Hybrid	22
Agronomy	Plant breeding	9
Agronomy	Stover	3
Biology	Genetic gain	5
Biology	Genetic variation	5
Biology	Hybrid	22
Biology	Plant breeding	9
Biology	Stover	3
Biomass (ecology)	Genetic gain	2
Biomass (ecology)	Genetic variation	2
Biomass (ecology)	Hybrid	4
Biomass (ecology)	Plant breeding	2
Biomass (ecology)	Stover	2
Biotechnology	Fertilizer	3
Biotechnology	Genetic gain	2
Biotechnology	Genetic variation	2
Biotechnology	Hybrid	2
Biotechnology	Plant breeding	4
Biotechnology	Stover	1
Crop	Genetic gain	4
Crop	Genetic variation	3
Crop	Hybrid	17
Crop	Plant breeding	8
Crop	Stover	3
Fertilizer	Genetic gain	1
Fertilizer	Genetic variation	1
Fertilizer	Hybrid	1
Fertilizer	Plant breeding	1
Fertilizer	Stover	2
Genetic gain	Genetic variation	5
Genetic gain	Hybrid	4
Genetic gain	Plant breeding	5
Genetic gain	Stover	1
Genetic gain	Yield (engineering)	3
Genetic variation	Hybrid	3
Genetic variation	Plant breeding	4
Genetic variation	Stover	1
Genetic variation	Yield (engineering)	3
Hybrid	Plant breeding	7
Hybrid	Stover	2
Hybrid	Yield (engineering)	17
Plant breeding	Stover	1
Plant breeding	Yield (engineering)	5
Stover	Yield (engineering)	2
Agricultural engineering	Agroecosystem	5
Agricultural engineering	Cover crop	3
Agricultural engineering	Soil carbon	3
Agricultural engineering	Soil science	6
Agricultural engineering	Soil water	6
Agroecosystem	Engineering	5
Agroecosystem	Geography	3
Agroecosystem	Soil carbon	4
Agroecosystem	Soil science	5
Agroecosystem	Soil water	6
Agroforestry	Engineering	13
Agroforestry	Soil carbon	4
Agroforestry	Soil science	6
Agroforestry	Soil water	6
Cover crop	Engineering	4
Cover crop	Soil carbon	1
Cover crop	Soil science	2
